Index,NF Instance ID,Data Network Name,PNFNS Index,PDU Session Type,Priority Switch,Priority,Capacity Switch,Capacity
3048,9383a6b0-add1-4211-8b17-3ecbbefb6fdf,awn.sci10m.5g                ,3004,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,100,INHERIT          ,0
3049,9383a6b0-add1-4211-8b17-3ecbbefb6fdf,awn.at.hutchison.2m          ,3000,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,100,INHERIT          ,0
3052,9383a6b0-add1-4211-8b17-3ecbbefb6fdf,awn.indorama.5g              ,3001,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,100,INHERIT          ,0
3057,9383a6b0-add1-4211-8b17-3ecbbefb6fdf,awn.sat50m20m                ,3004,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,100,INHERIT          ,0
3059,9383a6b0-add1-4211-8b17-3ecbbefb6fdf,awn.snc20m                   ,3004,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,100,INHERIT          ,0
3060,9383a6b0-add1-4211-8b17-3ecbbefb6fdf,awn.snc20m.l3                ,3004,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,100,INHERIT          ,0
3067,9383a6b0-add1-4211-8b17-3ecbbefb6fdf,gbr.midea10m.test            ,3004,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,100,INHERIT          ,0
3068,9383a6b0-add1-4211-8b17-3ecbbefb6fdf,mecng.awn.384k.test          ,3004,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,100,INHERIT          ,0
3069,9383a6b0-add1-4211-8b17-3ecbbefb6fdf,mecng.awn.512k.test          ,3004,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,100,INHERIT          ,0
3300,9383a6b0-add1-4211-8b17-3ecbbefb6fdf,mecng.awn.1m.test            ,3004,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,100,INHERIT          ,0
3301,9383a6b0-add1-4211-8b17-3ecbbefb6fdf,mecng.awn.1m.not             ,3004,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,100,INHERIT          ,0
